Last login: Tue Oct  8 00:26:39 on console
lixinyandeMacBook-Pro:~ saaries$ source vtf.sh
(targetDirectory) lixinyandeMacBook-Pro:targetDirectory saaries$ cd /Users/saaries/Downloads/pydodge2
(targetDirectory) lixinyandeMacBook-Pro:pydodge2 saaries$ python train_dqn_v3.py
/Users/saaries/targetDirectory/lib/python3.6/site-packages/h5py-2.7.1-py3.6-macosx-10.6-intel.egg/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
Using TensorFlow backend.
2019-10-10 14:56:58.247728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
WARNING:tensorflow:Variable *= will be deprecated. Use variable.assign_mul if you want assignment to the variable value or 'x = x * y' if you want a new python Tensor object.
17737 17 -0.952
17802 14 -0.96
17818 15 -0.956
17847 15 -0.958
17858 35 -0.8979999999999999
17868 12 -0.965
17872 12 -0.967
17885 13 -0.964
17888 20 -0.943
17902 22 -0.9369999999999999
17967 13 -0.962
17982 21 -0.938
18004 10 -0.973
18020 14 -0.96
18028 38 -0.8869999999999999
18047 12 -0.967
18090 18 -0.947
18099 10 -0.972
18102 45 -0.867
18107 15 -0.958
18122 15 -0.956
18171 16 -0.953
18176 17 -0.952
18177 42 -0.8749999999999999
18186 17 -0.951
18257 14 -0.959
18261 14 -0.961
18267 40 -0.8819999999999999
18294 17 -0.951
18315 18 -0.949
18321 49 -0.8539999999999999
18351 15 -0.957
18392 12 -0.965
18401 14 -0.959
18443 25 -0.9269999999999999
18456 14 -0.961
18476 14 -0.959
18556 12 -0.966
18559 16 -0.953
18574 10 -0.972
18579 21 -0.94
18636 34 -0.9009999999999999
18688 16 -0.953
18701 36 -0.8939999999999999
18703 8 -0.977
18745 47 -0.861
18752 25 -0.9269999999999999
18760 49 -0.855
18778 42 -0.8759999999999999
18801 11 -0.97
18821 29 -0.9139999999999999
18847 19 -0.946
18854 34 -0.8989999999999999
18882 11 -0.968
18884 23 -0.9319999999999999
18957 12 -0.965
18960 13 -0.963
18977 28 -0.9169999999999999
18986 13 -0.963
19001 20 -0.941
19039 22 -0.9359999999999999
19065 47 -0.8599999999999999
19091 13 -0.963
19121 15 -0.958
19166 12 -0.965
19173 12 -0.967
19189 24 -0.9309999999999999
19200 14 -0.96
19203 14 -0.961
19258 26 -0.9239999999999999
19276 13 -0.963
19339 15 -0.956
19343 15 -0.958
19379 29 -0.9139999999999999
19381 21 -0.938
19397 14 -0.96
19400 40 -0.8819999999999999
19424 12 -0.967
19432 54 -0.839
19440 13 -0.962
19441 43 -0.8739999999999999
19442 15 -0.958
19453 18 -0.948
19471 69 -0.7939999999999998
19521 12 -0.966
19525 11 -0.968
19586 37 -0.8899999999999999
19598 14 -0.959
19626 12 -0.966
19634 15 -0.958
19660 13 -0.964
19661 31 -0.9099999999999999
19697 20 -0.942
19720 21 -0.938
19733 21 -0.938
19737 10 -0.973
19762 21 -0.939
19791 12 -0.965
19792 15 -0.956
19816 13 -0.962
19828 24 -0.9309999999999999
19837 12 -0.965
